feature,mean_absolute_shap
hemo,0.0924070027909971
sg,0.07983520873684505
pcv,0.07287110959787098
sc,0.0677813422580966
rc,0.046712658977014605
htn,0.03640219406301935
al,0.03510047684003602
dm,0.03172102236008613
sod,0.016522584087541183
bgr,0.015645552343994056
bu,0.009898990135601499
su,0.005579246197455702
age,0.005347822695048216
appet,0.005172137064863731
pot,0.004376600445601819
bp,0.0036498367521517793
pc,0.0034005200806399294
pe,0.003081684833167147
wc,0.0021017129244020544
ane,0.0017315737510774118
rbc,0.0016129746321742178
cad,0.0003078659392945857
pcc,0.00016808959879202083
ba,0.00012115794750080333
